Epoch,Train_Net1,Test_Net1,Train_Net2,Test_Net2,Train_Net3,Test_Net3,Train_Net4,Test_Net4,Train_Net5,Test_Net5,Train_Net6,Test_Net6,Train_Net7,Test_Net7,Train_Net8,Test_Net8,Train_Net9,Test_Net9,Train_Net10,Test_Net10
46,0.001842154,0.001851887,0.002003182,0.002009395,0.001938243,0.001960216,0.002206464,0.002213586,0.002879485,0.002867469,0.001627753,0.001615843,0.001827293,0.001845773,0.001729665,0.001732415,0.001820840,0.001844626,0.001799976,0.001825705
47,0.001836373,0.001846368,0.001994899,0.002001886,0.001931791,0.001953834,0.002188875,0.002196646,0.002862067,0.002851229,0.001624257,0.001612751,0.001825247,0.001843442,0.001727795,0.001730322,0.001816363,0.001839928,0.001796452,0.001822069
48,0.001830805,0.001841035,0.001987115,0.001994842,0.001925683,0.001947762,0.002171847,0.002180230,0.002844759,0.002835091,0.001620719,0.001609624,0.001823241,0.001841139,0.001725942,0.001728251,0.001811979,0.001835310,0.001792979,0.001818471
49,0.001825434,0.001835871,0.001979799,0.001988232,0.001919893,0.001941978,0.002155364,0.002164322,0.002827560,0.002819053,0.001617137,0.001606462,0.001821272,0.001838861,0.001724106,0.001726202,0.001807673,0.001830762,0.001789554,0.001814909
50,0.001820245,0.001830863,0.001972920,0.001982027,0.001914397,0.001936459,0.002139412,0.002148909,0.002810470,0.002803114,0.001613512,0.001603263,0.001819335,0.001836608,0.001722285,0.001724171,0.001803434,0.001826272,0.001786172,0.001811380
51,0.001815224,0.001826000,0.001966451,0.001976200,0.001909175,0.001931186,0.002123976,0.002133976,0.002793489,0.002787275,0.001609842,0.001600026,0.001817429,0.001834376,0.001720477,0.001722159,0.001799250,0.001821834,0.001782829,0.001807883
52,0.001810359,0.001821271,0.001960364,0.001970726,0.001904206,0.001926141,0.002109040,0.002119509,0.002776616,0.002771535,0.001606128,0.001596750,0.001815550,0.001832167,0.001718680,0.001720163,0.001795113,0.001817439,0.001779522,0.001804417
53,0.001805637,0.001816664,0.001954635,0.001965582,0.001899472,0.001921306,0.002094590,0.002105493,0.002759851,0.002755896,0.001602369,0.001593435,0.001813697,0.001829977,0.001716894,0.001718182,0.001791016,0.001813082,0.001776248,0.001800979
54,0.001801049,0.001812170,0.001949242,0.001960745,0.001894956,0.001916666,0.002080611,0.002091916,0.002743197,0.002740358,0.001598565,0.001590080,0.001811869,0.001827808,0.001715117,0.001716216,0.001786950,0.001808759,0.001773006,0.001797570
55,0.001796583,0.001807781,0.001944162,0.001956195,0.001890642,0.001912208,0.002067090,0.002078763,0.002726653,0.002724921,0.001594714,0.001586683,0.001810063,0.001825659,0.001713348,0.001714262,0.001782912,0.001804464,0.001769793,0.001794189
56,0.001792232,0.001803489,0.001939376,0.001951914,0.001886516,0.001907916,0.002054010,0.002066020,0.002710220,0.002709587,0.001590818,0.001583245,0.001808279,0.001823530,0.001711585,0.001712319,0.001778896,0.001800194,0.001766608,0.001790835
57,0.001787986,0.001799286,0.001934864,0.001947882,0.001882564,0.001903781,0.002041358,0.002053673,0.002693901,0.002694357,0.001586874,0.001579764,0.001806515,0.001821420,0.001709827,0.001710387,0.001774898,0.001795947,0.001763448,0.001787506
58,0.001783837,0.001795166,0.001930609,0.001944083,0.001878774,0.001899789,0.002029121,0.002041711,0.002677697,0.002679232,0.001582885,0.001576240,0.001804771,0.001819329,0.001708073,0.001708464,0.001770915,0.001791721,0.001760312,0.001784202
59,0.001779779,0.001791122,0.001926594,0.001940503,0.001875135,0.001895932,0.002017283,0.002030118,0.002661608,0.002664213,0.001578848,0.001572673,0.001803047,0.001817258,0.001706322,0.001706550,0.001766943,0.001787512,0.001757200,0.001780923
60,0.001775805,0.001787149,0.001922805,0.001937125,0.001871636,0.001892199,0.002005831,0.002018882,0.002645636,0.002649302,0.001574764,0.001569062,0.001801340,0.001815207,0.001704572,0.001704642,0.001762980,0.001783321,0.001754108,0.001777666
61,0.001771908,0.001783241,0.001919226,0.001933938,0.001868268,0.001888581,0.001994752,0.002007991,0.002629783,0.002634501,0.001570633,0.001565407,0.001799652,0.001813175,0.001702824,0.001702740,0.001759023,0.001779145,0.001751038,0.001774433
62,0.001768084,0.001779394,0.001915844,0.001930927,0.001865021,0.001885072,0.001984031,0.001997432,0.002614051,0.002619809,0.001566456,0.001561708,0.001797980,0.001811162,0.001701074,0.001700842,0.001755073,0.001774984,0.001747986,0.001771221
63,0.001764326,0.001775603,0.001912646,0.001928081,0.001861887,0.001881663,0.001973657,0.001987192,0.002598440,0.002605229,0.001562231,0.001557964,0.001796325,0.001809168,0.001699323,0.001698949,0.001751125,0.001770837,0.001744953,0.001768030
64,0.001760630,0.001771865,0.001909622,0.001925389,0.001858858,0.001878348,0.001963616,0.001977260,0.002582953,0.002590762,0.001557960,0.001554177,0.001794687,0.001807194,0.001697570,0.001697059,0.001747180,0.001766703,0.001741938,0.001764859
65,0.001756992,0.001768176,0.001906758,0.001922841,0.001855928,0.001875120,0.001953896,0.001967623,0.002567591,0.002576409,0.001553643,0.001550345,0.001793063,0.001805239,0.001695812,0.001695170,0.001743237,0.001762581,0.001738939,0.001761708
66,0.001753408,0.001764532,0.001904046,0.001920426,0.001853091,0.001871974,0.001944484,0.001958271,0.002552354,0.002562172,0.001549280,0.001546469,0.001791455,0.001803302,0.001694050,0.001693283,0.001739294,0.001758472,0.001735955,0.001758575
67,0.001749874,0.001760931,0.001901476,0.001918137,0.001850339,0.001868904,0.001935368,0.001949192,0.002537245,0.002548050,0.001544872,0.001542550,0.001789862,0.001801385,0.001692283,0.001691395,0.001735351,0.001754374,0.001732987,0.001755461
68,0.001746386,0.001757369,0.001899038,0.001915964,0.001847668,0.001865907,0.001926536,0.001940374,0.002522264,0.002534046,0.001540419,0.001538588,0.001788283,0.001799486,0.001690509,0.001689507,0.001731407,0.001750287,0.001730034,0.001752364
